,dataset,model,fold,lambda_value,spearman
174,MK01_HUMAN_Brenan_2016,RITA regressor,3,0.1,0.5309675182598714
175,MK01_HUMAN_Brenan_2016,RITA regressor,3,0.9,0.5163372072132439
176,MK01_HUMAN_Brenan_2016,RITA regressor,4,0.001,0.3385927429962048
177,MK01_HUMAN_Brenan_2016,RITA regressor,4,0.01,0.4715559660472397
178,MK01_HUMAN_Brenan_2016,RITA regressor,4,0.1,0.5411916338797134
179,MK01_HUMAN_Brenan_2016,RITA regressor,4,0.9,0.5490915190109671
180,MK01_HUMAN_Brenan_2016,RITA regressor,5,0.001,0.34749149760621056
181,MK01_HUMAN_Brenan_2016,RITA regressor,5,0.01,0.44688947549258173
182,MK01_HUMAN_Brenan_2016,RITA regressor,5,0.1,0.5179792435342321
183,MK01_HUMAN_Brenan_2016,RITA regressor,5,0.9,0.5150118913580426
184,MK01_HUMAN_Brenan_2016,RITA regressor,6,0.001,0.25813395698576846
185,MK01_HUMAN_Brenan_2016,RITA regressor,6,0.01,0.3847926452763388
186,MK01_HUMAN_Brenan_2016,RITA regressor,6,0.1,0.48044802082862154
187,MK01_HUMAN_Brenan_2016,RITA regressor,6,0.9,0.4994726145179356
188,MK01_HUMAN_Brenan_2016,RITA regressor,7,0.001,0.28887140802763234
189,MK01_HUMAN_Brenan_2016,RITA regressor,7,0.01,0.42213451409746583
190,MK01_HUMAN_Brenan_2016,RITA regressor,7,0.1,0.5054821783724284
191,MK01_HUMAN_Brenan_2016,RITA regressor,7,0.9,0.5098587462546527
192,MK01_HUMAN_Brenan_2016,RITA regressor,8,0.001,0.3125843143343088
193,MK01_HUMAN_Brenan_2016,RITA regressor,8,0.01,0.4164132481627206
194,MK01_HUMAN_Brenan_2016,RITA regressor,8,0.1,0.48832188326877446
195,MK01_HUMAN_Brenan_2016,RITA regressor,8,0.9,0.4921428399790862
196,MK01_HUMAN_Brenan_2016,RITA regressor,9,0.001,0.31009881416625745
197,MK01_HUMAN_Brenan_2016,RITA regressor,9,0.01,0.39699888273226047
198,MK01_HUMAN_Brenan_2016,RITA regressor,9,0.1,0.4651119414528455
199,MK01_HUMAN_Brenan_2016,RITA regressor,9,0.9,0.48207648681074705
200,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,0,0.001,0.7324817658092253
201,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,0,0.01,0.7928989836586686
202,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,0,0.1,0.7974006202042014
203,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,0,0.9,0.7628944203408686
204,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,1,0.001,0.6886563315481997
205,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,1,0.01,0.7709181917373759
206,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,1,0.1,0.8091771401958897
207,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,1,0.9,0.7819544489101109
208,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,2,0.001,0.7181041619692383
209,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,2,0.01,0.7862443596451757
210,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,2,0.1,0.7956372593963563
211,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,2,0.9,0.7659677782858115
212,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,3,0.001,0.7449165873299513
213,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,3,0.01,0.7985356693656483
214,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,3,0.1,0.803298865187161
215,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,3,0.9,0.7682456220812227
216,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,4,0.001,0.7145760388073173
217,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,4,0.01,0.7810542205979071
218,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,4,0.1,0.7989757009797008
219,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,4,0.9,0.7599949464984672
220,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,5,0.001,0.7100544627840686
221,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,5,0.01,0.7920121091338518
222,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,5,0.1,0.8033863771784868
223,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,5,0.9,0.7662601414357194
224,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,6,0.001,0.7048172134673159
225,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,6,0.01,0.7797266342720406
226,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,6,0.1,0.7931795422545705
227,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,6,0.9,0.7599786422452327
228,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,7,0.001,0.7113025143401668
229,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,7,0.01,0.7852378578544021
230,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,7,0.1,0.7930295429585503
231,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,7,0.9,0.7487710261647272
232,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,8,0.001,0.7374793263254936
233,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,8,0.01,0.7952422281043744
234,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,8,0.1,0.8037434063015063
235,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,8,0.9,0.7754975404583526
236,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,9,0.001,0.731557171132014
